stimulus,joe_context,moral_judgment_mean,moral_judgment_sd,n
10esque,New Yes 10,-21.794871794871796,22.755195459012604,39
7esque,New Yes 7,-22.710526315789473,29.20191394573108,38
9esque,New Yes 9,9.64102564102564,30.754107281952624,39
maybe_4,Maybe 1,34.15384615384615,22.819126859003337,39
maybe_5,Maybe 2,35.02564102564103,20.013794163404267,39
maybe_6,Maybe 3,32.51282051282051,23.561645678910367,39
new_maybe_1,New Maybe 1,13.128205128205128,31.007791454797026,39
new_maybe_2,New Maybe 2,30.58974358974359,24.0402271956139,39
new_maybe_3,New Maybe 3,8.179487179487179,28.006457709148172,39
new_maybe_4,New Maybe 4,-0.5897435897435898,33.591758034185425,39
new_maybe_5,New Maybe 5,-10.179487179487179,33.38599753353255,39
new_maybe_6,New Maybe 6,17.46153846153846,30.379915589992358,39
no_line_1,No 1,19.102564102564102,30.500038715933037,39
no_line_2,No 2,36.794871794871796,20.405339197040778,39
no_line_3,No 3,26.512820512820515,26.14320058011642,39
no_line_A,No A,37.84615384615385,18.71888781775251,39
no_line_B,No B,39.76923076923077,20.169624815107156,39
no_line_C,No C,35.48717948717949,24.367657377062002,39
no_line_D,No D,39.64102564102564,18.12455034576492,39
yes_line_10,Yes 4,-27.743589743589745,30.285238673510083,39
yes_line_7,Yes 1,-20.794871794871796,31.399111190219422,39
yes_line_8,Yes 2,-16.128205128205128,29.4316151953889,39
yes_line_9,Yes 3,2.6666666666666665,32.908432236749015,39
yes_line_B,Yes B,31.28205128205128,22.370032489387413,39
yes_line_C,Yes C,31.0,26.312894577614063,39
yes_line_D,Yes D,11.666666666666666,33.775055676710764,39
yes_line_E,Yes E,-25.23076923076923,32.70961675623976,39
yes_line_F,Yes F,41.07692307692308,17.31805357876817,39
